整租·联发文创口岸 1室0厅 南/北,联发文创口岸,整租,1室0厅0卫 780.34㎡,面积：780.34㎡,46820,湖里
整租·联发文创口岸 1室0厅 北,联发文创口岸,整租,1室0厅0卫 687.70㎡,面积：687.70㎡,51600,湖里
整租·同安商务大厦 1室0厅 南,同安商务大厦,整租,1室0厅0卫 386.16㎡ 精装修,面积：386.16㎡,22000,湖里
整租·和盛大厦 3室1厅 南,和盛大厦,整租,3室1厅0卫 200.84㎡ 精装修,面积：200.84㎡,12050,思明
整租·碧桂园云空间 2室1厅 复式 南,碧桂园云空间,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,1800,翔安
整租·天心岛 4室2厅 南,天心岛,整租,4室2厅2卫 161.00㎡ 精装修,面积：161.00㎡,4500,海沧
整租·禾丰新景 1室0厅 南,禾丰新景,整租,1室0厅0卫 32.00㎡,面积：32.00㎡,550,思明
整租·京口岩小区 1室1厅 南/北,京口岩小区,整租,1室1厅1卫 52.00㎡ 精装修,面积：52.00㎡,2100,海沧
整租·盈翠里 2室1厅 南,盈翠里,整租,2室1厅1卫 64.00㎡,面积：64.00㎡,3200,思明
整租·阳光城翡丽海岸 1室1厅 北,阳光城翡丽海岸,整租,1室1厅1卫 38.00㎡ 精装修,面积：38.00㎡,2300,同安
整租·富山名仕园 3室1厅 南/北,富山名仕园,整租,3室1厅1卫 75.00㎡,面积：75.00㎡,5200,思明
整租·金龙商城二期 3室2厅 南/北,金龙商城二期,整租,3室2厅1卫 108.00㎡ 精装修,面积：108.00㎡,2900,海沧
整租·天润海景 2室2厅 东南,天润海景,整租,2室2厅1卫 80.00㎡ 精装修,面积：80.00㎡,3600,思明
整租·世茂湖滨首府B区 1室0厅 南,世茂湖滨首府B区,整租,1室0厅1卫 15.00㎡,面积：15.00㎡,1600,湖里
整租·观音山营运中心 3室1厅 西北,观音山营运中心,整租,3室1厅0卫 158.00㎡ 精装修,面积：158.00㎡,10428,思明
整租·观音山营运中心 2室1厅 东南,观音山营运中心,整租,2室1厅0卫 135.00㎡ 精装修,面积：135.00㎡,9180,思明
合租·水云湾 8居室 南卧,水云湾,合租,8室0厅1卫 25.00㎡,面积：25.00㎡,900,海沧
整租·墩仔家园 2室1厅 南/西,墩仔家园,整租,2室1厅1卫 50.00㎡,面积：50.00㎡,3500,思明
整租·银龙广场二期 1室1厅 南,银龙广场二期,整租,1室1厅1卫 35.00㎡,面积：35.00㎡,2400,思明
整租·瑞景公园 1室0厅 南,瑞景公园,整租,1室0厅0卫 35.00㎡ 精装修,面积：35.00㎡,600,思明
整租·IOI园博湾 3室1厅 南,IOI园博湾,整租,3室1厅1卫 108.00㎡ 精装修,面积：108.00㎡,3600,集美
整租·水晶森林一期 1室0厅 南,水晶森林一期,整租,1室0厅0卫 33.00㎡,面积：33.00㎡,700,湖里
整租·天宝大厦 1室1厅 北,天宝大厦,整租,1室1厅1卫 22.15㎡,面积：22.15㎡,1500,思明
整租·玉亭里 3室1厅 南/北,玉亭里,整租,3室1厅1卫 92.00㎡ 精装修,面积：92.00㎡,4500,思明
整租·鼓浪屿别墅 2室2厅 南,鼓浪屿别墅,整租,2室2厅1卫 110.00㎡ 精装修,面积：110.00㎡,6000,思明
整租·东城合院 3室2厅 复式 南/北,东城合院,整租,3室2厅2卫 87.00㎡ 精装修,面积：87.00㎡,2200,翔安
整租·软件园二期 1室1厅 北,软件园二期,整租,1室1厅0卫 60.00㎡ 精装修,面积：60.00㎡,3500,思明
整租·荣华楼 3室2厅 南/北,荣华楼,整租,3室2厅1卫 110.18㎡ 精装修,面积：110.18㎡,2200,翔安
整租·融创云潮府 3室2厅 南,融创云潮府,整租,3室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3000,海沧
整租·福满家园 2室1厅 北,福满家园,整租,2室1厅1卫 40.00㎡,面积：40.00㎡,2600,思明
整租·国际邮轮城二期 1室0厅 南,国际邮轮城二期,整租,1室0厅0卫 38.00㎡ 精装修,面积：38.00㎡,600,湖里
整租·五华偶寓 4室2厅 东南,五华偶寓,整租,4室2厅2卫 208.00㎡,面积：208.00㎡,5000,翔安
整租·未来海岸蓝月湾二期 2室1厅 南/北,未来海岸蓝月湾二期,整租,2室1厅2卫 130.00㎡ 精装修,面积：130.00㎡,3200,海沧
整租·世茂湖滨首府D区 1室0厅 南,世茂湖滨首府D区,整租,1室0厅0卫 35.00㎡,面积：35.00㎡,750,湖里
整租·海投自贸国际 3室2厅 南,海投自贸国际,整租,3室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,1800,海沧
整租·世茂湖滨首府D区 1室0厅 南,世茂湖滨首府D区,整租,1室0厅0卫 35.00㎡,面积：35.00㎡,750,湖里
整租·软件园二期 2室1厅 南,软件园二期,整租,2室1厅0卫 139.00㎡ 精装修,面积：139.00㎡,6472,思明
整租·嘉盛豪园南区 1室0厅 南,嘉盛豪园南区,整租,1室0厅1卫 60.00㎡ 精装修,面积：60.00㎡,2400,思明
整租·天湖城 3室2厅 南,天湖城,整租,3室2厅2卫 132.00㎡,面积：132.00㎡,3000,海沧
整租·海豚湾 4室2厅 东南/北,海豚湾,整租,4室2厅2卫 181.00㎡ 精装修,面积：181.00㎡,7500,思明
整租·海投自贸国际 4室2厅 南,海投自贸国际,整租,4室2厅2卫 120.00㎡ 精装修,面积：120.00㎡,2800,海沧
整租·源昌鑫海湾 1室0厅 南,源昌鑫海湾,整租,1室0厅0卫 35.00㎡,面积：35.00㎡,700,湖里
整租·金鼎巷 1室0厅 南,金鼎巷,整租,1室0厅1卫 25.00㎡,面积：25.00㎡,1500,湖里
整租·福园公寓 2室2厅 复式 南,福园公寓,整租,2室2厅1卫 39.51㎡ 精装修,面积：39.51㎡,2500,湖里
整租·融侨铂樾府 1室0厅 南,融侨铂樾府,整租,1室0厅0卫 130.00㎡ 精装修,面积：130.00㎡,10500,翔安
整租·首开领翔国际 3室2厅 南,首开领翔国际,整租,3室2厅2卫 122.00㎡ 精装修,面积：122.00㎡,2600,翔安
整租·厦禾路390号~827号 1室1厅 南/北,厦禾路390号~827号,整租,1室1厅1卫 46.00㎡,面积：46.00㎡,2300,思明
整租·新景数码港 1室0厅 南,新景数码港,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1700,思明
整租·国贸天琴湾二期 4室2厅 南/北,国贸天琴湾二期,整租,4室2厅2卫 157.00㎡ 精装修,面积：157.00㎡,17000,湖里
整租·轮船宿舍 3室1厅 南/北,轮船宿舍,整租,3室1厅1卫 85.00㎡ 精装修,面积：85.00㎡,4000,思明
整租·IOI园博湾 3室2厅 南/北,IOI园博湾,整租,3室2厅1卫 108.00㎡ 精装修,面积：108.00㎡,3500,集美
整租·特房银溪春墅 2室1厅 南,特房银溪春墅,整租,2室1厅1卫 82.00㎡ 精装修,面积：82.00㎡,2200,同安
整租·阳光花园 1室0厅 西,阳光花园,整租,1室0厅1卫 20.00㎡,面积：20.00㎡,1400,思明
整租·九州大厦 2室1厅 南,九州大厦,整租,2室1厅0卫 76.00㎡ 精装修,面积：76.00㎡,5300,思明
整租·能群大厦 2室2厅 东南/西北,能群大厦,整租,2室2厅1卫 96.00㎡ 精装修,面积：96.00㎡,4800,思明
整租·特房山水新座 1室0厅 北,特房山水新座,整租,1室0厅1卫 20.00㎡,面积：20.00㎡,1400,湖里
整租·振兴小区 3室1厅 南,振兴小区,整租,3室1厅1卫 85.00㎡,面积：85.00㎡,1500,同安
整租·皇达大厦 1室0厅 南,皇达大厦,整租,1室0厅0卫 128.00㎡ 精装修,面积：128.00㎡,7680,思明
整租·阳光城翡丽海岸 3室1厅 东南,阳光城翡丽海岸,整租,3室1厅1卫 48.00㎡ 精装修,面积：48.00㎡,3000,同安
整租·佳丽花园 4室2厅 南,佳丽花园,整租,4室2厅2卫 149.00㎡,面积：149.00㎡,4950,湖里
整租·天宝大厦 1室0厅 西北,天宝大厦,整租,1室0厅1卫 26.00㎡ 精装修,面积：26.00㎡,1600,思明
整租·临港新城二期保障性安居工程A地块 2室2厅 南,临港新城二期保障性安居工程A地块,整租,2室2厅1卫 103.00㎡ 精装修,面积：103.00㎡,2000,海沧
整租·振兴新村 1室1厅 南/北,振兴新村,整租,1室1厅1卫 36.00㎡,面积：36.00㎡,2500,思明
整租·流芳里 1室1厅 东,流芳里,整租,1室1厅1卫 30.00㎡,面积：30.00㎡,1800,思明
整租·莲花新城一期 3室2厅 东南,莲花新城一期,整租,3室2厅2卫 117.00㎡ 精装修,面积：117.00㎡,3800,集美
整租·皇达大厦 2室1厅 南,皇达大厦,整租,2室1厅0卫 128.00㎡ 精装修,面积：128.00㎡,7280,思明
整租·恒祥新苑 2室1厅 南,恒祥新苑,整租,2室1厅1卫 77.00㎡ 精装修,面积：77.00㎡,2900,湖里
整租·华林紫微小区 3室2厅 南/北,华林紫微小区,整租,3室2厅2卫 102.00㎡,面积：102.00㎡,4200,思明
整租·瑞景公园 1室0厅 北,瑞景公园,整租,1室0厅1卫 25.00㎡,面积：25.00㎡,1300,思明
整租·都市港湾 3室2厅 西南,都市港湾,整租,3室2厅2卫 150.00㎡ 精装修,面积：150.00㎡,6000,湖里
合租·金海湾 3居室 南卧,金海湾,合租,3室2厅2卫 80.00㎡,面积：80.00㎡,2600,集美
整租·陶然北岸 4室2厅 南/北,陶然北岸,整租,4室2厅2卫 153.57㎡ 精装修,面积：153.57㎡,7500,思明
整租·金鸡亭小区西区 3室2厅 南/北,金鸡亭小区西区,整租,3室2厅1卫 97.00㎡,面积：97.00㎡,3100,思明
整租·融信海上城 2室1厅 东南,融信海上城,整租,2室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,2600,海沧
整租·华尔顿1275 5室2厅 南/北,华尔顿1275,整租,5室2厅3卫 225.00㎡ 精装修,面积：225.00㎡,13500,思明
整租·万科城一期 1室0厅 南,万科城一期,整租,1室0厅0卫 32.00㎡ 精装修,面积：32.00㎡,380,海沧
整租·新景国际外滩 1室1厅 南/北,新景国际外滩,整租,1室1厅1卫 30.00㎡ 精装修,面积：30.00㎡,2250,湖里
整租·龙湖嘉屿城 3室2厅 东/西南,龙湖嘉屿城,整租,3室2厅2卫 123.00㎡ 精装修,面积：123.00㎡,2900,集美
整租·石鼓路 1室0厅 东南,石鼓路,整租,1室0厅0卫 55.00㎡,面积：55.00㎡,6050,集美
整租·保利中交雲上 3室2厅 南,保利中交雲上,整租,3室2厅1卫 78.00㎡ 精装修,面积：78.00㎡,2600,翔安
整租·软件园三期 1室1厅 东北,软件园三期,整租,1室1厅0卫 80.00㎡ 精装修,面积：80.00㎡,3600,集美
整租·山木清华 2室2厅 东/南,山木清华,整租,2室2厅1卫 90.00㎡ 精装修,面积：90.00㎡,4500,思明
整租·中科院小区 1室1厅 南/北,中科院小区,整租,1室1厅1卫 58.00㎡ 精装修,面积：58.00㎡,2500,思明
整租·三源弘 1室0厅 南,三源弘,整租,1室0厅1卫 21.84㎡ 精装修,面积：21.84㎡,1100,海沧
整租·裕兴大厦 1室1厅 南,裕兴大厦,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2600,湖里
整租·世茂湖滨首府D区 3室2厅 南/北,世茂湖滨首府D区,整租,3室2厅2卫 136.77㎡,面积：136.77㎡,6500,湖里
整租·莲花新城三期 2室2厅 东南/南,莲花新城三期,整租,2室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3500,集美
整租·海韵北区 3室2厅 南/北,海韵北区,整租,3室2厅2卫 122.00㎡ 精装修,面积：122.00㎡,6300,思明
整租·五州大厦 3室2厅 南/北,五州大厦,整租,3室2厅1卫 130.00㎡,面积：130.00㎡,5600,思明
整租·时尚国际 1室0厅 北,时尚国际,整租,1室0厅1卫 34.00㎡,面积：34.00㎡,2000,思明
整租·四川大厦 2室1厅 东,四川大厦,整租,2室1厅1卫 96.00㎡ 精装修,面积：96.00㎡,4400,思明
整租·融信海上城 2室2厅 跃层 西南,融信海上城,整租,2室2厅1卫 43.00㎡ 精装修,面积：43.00㎡,2600,海沧
整租·小学路 1室1厅 南,小学路,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2600,思明
整租·海银大厦 2室1厅 南,海银大厦,整租,2室1厅1卫 49.00㎡ 精装修,面积：49.00㎡,2400,海沧
整租·保利中交雲上 1室0厅 南,保利中交雲上,整租,1室0厅0卫 45.00㎡ 精装修,面积：45.00㎡,300,翔安
整租·橡树湾四期 3室2厅 东南,橡树湾四期,整租,3室2厅1卫 83.00㎡ 精装修,面积：83.00㎡,3000,集美
整租·海投自贸国际 2室2厅 南,海投自贸国际,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2061,海沧
整租·海投自贸国际 3室2厅 南,海投自贸国际,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2251,海沧
整租·海投自贸国际 2室2厅 南,海投自贸国际,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2200,海沧
整租·水云湾 3室2厅 东南,水云湾,整租,3室2厅1卫 93.00㎡ 精装修,面积：93.00㎡,2900,海沧
整租·钟宅北苑一期C区 1室1厅 南,钟宅北苑一期C区,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,2400,湖里
整租·石塘村南片区 3室2厅 南,石塘村南片区,整租,3室2厅1卫 71.00㎡ 精装修,面积：71.00㎡,17800,海沧
整租·裕发广场 1室0厅 南,裕发广场,整租,1室0厅1卫 50.00㎡ 精装修,面积：50.00㎡,2900,思明
整租·金山小区 1室0厅 西北/北,金山小区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1380,湖里
整租·海投自贸国际 3室2厅 南,海投自贸国际,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2400,海沧
整租·国贸阳光 1室0厅 南,国贸阳光,整租,1室0厅0卫 35.00㎡,面积：35.00㎡,1200,湖里
整租·海投自贸国际 2室2厅 南,海投自贸国际,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2061,海沧
整租·文兴社 1室1厅 南/北,文兴社,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,3100,思明
整租·豪峰大厦 3室1厅 东南,豪峰大厦,整租,3室1厅2卫 132.00㎡ 精装修,面积：132.00㎡,5300,湖里
整租·海投自贸国际 3室2厅 南,海投自贸国际,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2400,海沧
整租·海投自贸国际 2室2厅 南,海投自贸国际,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2200,海沧
整租·天心岛 3室2厅 南/北,天心岛,整租,3室2厅2卫 109.00㎡ 精装修,面积：109.00㎡,4100,海沧
整租·嵩屿金华综合楼 1室0厅 西,嵩屿金华综合楼,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,860,海沧
整租·中海寰宇天下 4室2厅 东南,中海寰宇天下,整租,4室2厅2卫 128.00㎡ 精装修,面积：128.00㎡,4200,集美
整租·水云湾 3室2厅 南/北,水云湾,整租,3室2厅2卫 92.00㎡,面积：92.00㎡,2500,海沧
整租·特房银溪墅府图尔花园 3室2厅 南,特房银溪墅府图尔花园,整租,3室2厅2卫 107.00㎡ 精装修,面积：107.00㎡,2500,翔安
整租·源昌鑫海湾 1室0厅 北,源昌鑫海湾,整租,1室0厅1卫 30.00㎡,面积：30.00㎡,2050,湖里
整租·海峡国际社区二期 1室2厅 东北,海峡国际社区二期,整租,1室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,5500,思明
整租·槟榔东里单号区 1室0厅 南/北,槟榔东里单号区,整租,1室0厅1卫 20.00㎡ 精装修,面积：20.00㎡,1100,思明
整租·自然家园 1室1厅 南/北,自然家园,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1800,思明
整租·海投自贸国际 2室2厅 南,海投自贸国际,整租,2室2厅1卫 56.00㎡ 精装修,面积：56.00㎡,1850,海沧
整租·大唐五缘yoho 1室0厅 南,大唐五缘yoho,整租,1室0厅0卫 45.00㎡ 精装修,面积：45.00㎡,500,湖里
整租·海投自贸国际 3室1厅 东南,海投自贸国际,整租,3室1厅1卫 83.00㎡ 精装修,面积：83.00㎡,2600,海沧
整租·临港新城二期保障性安居工程A地块 3室2厅 南,临港新城二期保障性安居工程A地块,整租,3室2厅2卫 130.00㎡ 精装修,面积：130.00㎡,2600,海沧
整租·美地雅登祥吴二里 2室2厅 南/北,美地雅登祥吴二里,整租,2室2厅1卫 90.00㎡ 精装修,面积：90.00㎡,2500,翔安
整租·富山名仕园 4室2厅 西南,富山名仕园,整租,4室2厅1卫 200.00㎡,面积：200.00㎡,15000,思明
整租·观音山营运中心 4室1厅 东南,观音山营运中心,整租,4室1厅0卫 326.00㎡ 精装修,面积：326.00㎡,23850,思明
整租·特房银溪墅府梅斯花园 3室2厅 南/北,特房银溪墅府梅斯花园,整租,3室2厅2卫 125.00㎡ 精装修,面积：125.00㎡,3000,翔安
整租·和悦里 3室2厅 南/北,和悦里,整租,3室2厅2卫 150.00㎡,面积：150.00㎡,4300,湖里
整租·唯自然大厦 1室0厅 东/南,唯自然大厦,整租,1室0厅0卫 438.00㎡ 精装修,面积：438.00㎡,51240,湖里
整租·豆仔尾路 3室2厅 西南/北,豆仔尾路,整租,3室2厅2卫 126.86㎡,面积：126.86㎡,6000,思明
整租·前埔北区一里 2室2厅 南/北,前埔北区一里,整租,2室2厅1卫 77.00㎡ 精装修,面积：77.00㎡,3800,思明
合租·东苑村 8居室 北卧,东苑村,合租,8室0厅4卫 30.00㎡,面积：30.00㎡,1200,湖里
整租·永同昌假日国际公寓 1室0厅 南,永同昌假日国际公寓,整租,1室0厅1卫 45.00㎡ 精装修,面积：45.00㎡,1500,湖里
整租·大唐五缘yoho 1室1厅 南,大唐五缘yoho,整租,1室1厅1卫 56.40㎡,面积：56.40㎡,5500,湖里
整租·海晟维多利亚 2室2厅 南,海晟维多利亚,整租,2室2厅1卫 90.14㎡,面积：90.14㎡,3000,海沧
合租·国贸商城同悦 2居室 东南卧,国贸商城同悦,合租,2室0厅1卫 18.00㎡,面积：18.00㎡,1200,集美
整租·东坪花园一期 1室1厅 西南,东坪花园一期,整租,1室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2300,思明
整租·屿后里小区二区 3室1厅 南/北,屿后里小区二区,整租,3室1厅1卫 89.00㎡ 精装修,面积：89.00㎡,2900,思明
整租·水岸名筑 3室2厅 南/北,水岸名筑,整租,3室2厅1卫 100.86㎡,面积：100.86㎡,2800,海沧
整租·古龙御园 4室2厅 南,古龙御园,整租,4室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3200,同安
整租·蓝湾国际 3室2厅 南,蓝湾国际,整租,3室2厅2卫 141.57㎡ 精装修,面积：141.57㎡,9800,思明
整租·水晶森林一期 2室1厅 南/北,水晶森林一期,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3400,湖里
整租·洪山柄南区 1室1厅 南,洪山柄南区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,3300,思明
整租·中海环东时代 3室2厅 南/北,中海环东时代,整租,3室2厅2卫 82.00㎡ 精装修,面积：82.00㎡,2500,同安
整租·禹洲中央海岸三期 1室0厅 东,禹洲中央海岸三期,整租,1室0厅0卫 37.00㎡,面积：37.00㎡,500,集美
整租·龙湖嘉誉二期 3室2厅 西南,龙湖嘉誉二期,整租,3室2厅2卫 122.00㎡,面积：122.00㎡,3800,集美
整租·明丰财富中心 1室1厅 西南,明丰财富中心,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2300,思明
整租·假日花园 1室1厅 南/北,假日花园,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2350,思明
整租·东方巴黎广场 2室2厅 南,东方巴黎广场,整租,2室2厅1卫 86.00㎡,面积：86.00㎡,4500,湖里
整租·凯旋广场 3室2厅 东/南,凯旋广场,整租,3室2厅2卫 117.00㎡ 精装修,面积：117.00㎡,5000,思明
整租·纺织路 2室1厅 南/北,纺织路,整租,2室1厅1卫 65.00㎡,面积：65.00㎡,1380,集美
整租·海城花园 3室1厅 南,海城花园,整租,3室1厅1卫 100.00㎡ 精装修,面积：100.00㎡,5000,思明
整租·中航城A区 4室2厅 东/西,中航城A区,整租,4室2厅2卫 159.00㎡ 精装修,面积：159.00㎡,7000,集美
整租·源昌鑫海湾 3室2厅 南/北,源昌鑫海湾,整租,3室2厅2卫 133.00㎡ 精装修,面积：133.00㎡,5100,湖里
整租·东方明珠广场 5室2厅 西南,东方明珠广场,整租,5室2厅2卫 153.00㎡,面积：153.00㎡,6500,思明
整租·希尼亚国际 3室1厅 南,希尼亚国际,整租,3室1厅0卫 409.00㎡ 精装修,面积：409.00㎡,22495,湖里
整租·华永天地 2室1厅 南,华永天地,整租,2室1厅1卫 56.00㎡ 精装修,面积：56.00㎡,4800,湖里
整租·海上五月花五期 3室2厅 东南,海上五月花五期,整租,3室2厅2卫 110.00㎡ 精装修,面积：110.00㎡,3700,同安
整租·橡树湾 2室2厅 南,橡树湾,整租,2室2厅2卫 89.90㎡ 精装修,面积：89.90㎡,3300,集美
整租·富山花园紫荆苑 3室1厅 东南,富山花园紫荆苑,整租,3室1厅2卫 97.07㎡,面积：97.07㎡,4000,思明
整租·龙湖春江彼岸 1室0厅 北,龙湖春江彼岸,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,2600,海沧
整租·樱花山庄 2室1厅 南,樱花山庄,整租,2室1厅1卫 58.00㎡ 精装修,面积：58.00㎡,3200,湖里
整租·未来海岸浪琴湾 3室2厅 南,未来海岸浪琴湾,整租,3室2厅1卫 91.00㎡ 精装修,面积：91.00㎡,2400,海沧
合租·首开龙湖春江彼岸一期 4居室 南卧,首开龙湖春江彼岸一期,合租,4室2厅1卫 70.00㎡,面积：70.00㎡,2200,海沧
整租·中关委大厦 1室1厅 东南,中关委大厦,整租,1室1厅1卫 53.00㎡ 精装修,面积：53.00㎡,3500,思明
整租·凌志大厦 3室2厅 东南,凌志大厦,整租,3室2厅2卫 127.00㎡,面积：127.00㎡,5800,思明
整租·永同昌假日国际公寓 1室1厅 北,永同昌假日国际公寓,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2600,湖里
整租·老虎城 1室1厅 东/南,老虎城,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,2700,思明
整租·善见豪山 3室2厅 北,善见豪山,整租,3室2厅1卫 104.00㎡ 精装修,面积：104.00㎡,6200,思明
合租·莲花尚院 4居室 东南卧,莲花尚院,合租,4室0厅1卫 20.00㎡,面积：20.00㎡,1150,集美
整租·锦绣祥安 3室2厅 东南,锦绣祥安,整租,3室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,3000,翔安
整租·骏景园 2室1厅 南,骏景园,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,4500,思明
整租·海投天源 1室1厅 东南,海投天源,整租,1室1厅1卫 118.00㎡,面积：118.00㎡,13000,海沧
整租·建发书香府邸二期 3室2厅 南,建发书香府邸二期,整租,3室2厅1卫 78.00㎡ 精装修,面积：78.00㎡,2900,翔安
整租·东坪花园一期 2室1厅 东南,东坪花园一期,整租,2室1厅1卫 85.00㎡ 精装修,面积：85.00㎡,5500,思明
整租·永建顶尚 1室1厅 南/西,永建顶尚,整租,1室1厅1卫 26.00㎡,面积：26.00㎡,1800,湖里
整租·摩登时代 4室2厅 跃层 北,摩登时代,整租,4室2厅2卫 62.00㎡ 精装修,面积：62.00㎡,6300,思明
整租·乌石浦花园一期 3室2厅 南/北,乌石浦花园一期,整租,3室2厅2卫 135.70㎡ 精装修,面积：135.70㎡,9500,湖里
整租·宏华大厦 2室1厅 北,宏华大厦,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,4500,思明
整租·建发央著一期 2室1厅 东/东南/南,建发央著一期,整租,2室1厅1卫 86.72㎡ 精装修,面积：86.72㎡,4000,集美
整租·旭日海湾一期 3室2厅 东/东南,旭日海湾一期,整租,3室2厅1卫 74.31㎡ 精装修,面积：74.31㎡,2800,海沧
整租·源昌君悦山思明 2室2厅 南,源昌君悦山思明,整租,2室2厅1卫 95.00㎡ 精装修,面积：95.00㎡,6500,思明
整租·美地雅登一里 2室1厅 南,美地雅登一里,整租,2室1厅1卫 60.00㎡,面积：60.00㎡,1600,翔安
整租·泉水湾一期 1室1厅 南,泉水湾一期,整租,1室1厅1卫 38.00㎡ 精装修,面积：38.00㎡,2200,集美
整租·特房樾熙湾 3室2厅 南/北,特房樾熙湾,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2500,同安
整租·福建三建宿舍 3室2厅 南,福建三建宿舍,整租,3室2厅1卫 61.79㎡ 精装修,面积：61.79㎡,3000,湖里
整租·东坑安居房 3室2厅 南/北,东坑安居房,整租,3室2厅2卫 138.00㎡ 精装修,面积：138.00㎡,4800,海沧
整租·摩登时代 1室1厅 南,摩登时代,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3500,思明
整租·龙湖新壹城 1室1厅 东南,龙湖新壹城,整租,1室1厅1卫 51.00㎡ 精装修,面积：51.00㎡,1700,集美
整租·未来海岸浪琴湾 3室2厅 南/北,未来海岸浪琴湾,整租,3室2厅2卫 97.00㎡ 精装修,面积：97.00㎡,2400,海沧
整租·建发央著二期 2室2厅 东南,建发央著二期,整租,2室2厅1卫 80.00㎡ 精装修,面积：80.00㎡,4800,集美
整租·禹洲云顶国际 2室2厅 南/北,禹洲云顶国际,整租,2室2厅1卫 95.00㎡ 精装修,面积：95.00㎡,6200,思明
整租·国际山庄 5室2厅 南/北,国际山庄,整租,5室2厅4卫 256.00㎡,面积：256.00㎡,15000,湖里
整租·新景园 1室1厅 南,新景园,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3700,湖里
整租·和悦里 3室2厅 南,和悦里,整租,3室2厅1卫 105.00㎡ 精装修,面积：105.00㎡,3500,湖里
整租·万科城一期 1室1厅 北,万科城一期,整租,1室1厅0卫 41.00㎡ 精装修,面积：41.00㎡,4000,海沧
整租·和通新村 3室2厅 南/北,和通新村,整租,3室2厅2卫 125.00㎡ 精装修,面积：125.00㎡,4600,湖里
合租·中交和美新城(二期三期) 8居室 南卧,中交和美新城(二期三期),合租,8室3厅3卫 30.00㎡ 精装修,面积：30.00㎡,1600,集美
整租·富山名仕园 1室0厅 南,富山名仕园,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1580,思明
整租·香港时代广场 2室2厅 西南/东北,香港时代广场,整租,2室2厅0卫 120.00㎡,面积：120.00㎡,8000,思明
整租·会展嘉园伍区 2室2厅 南,会展嘉园伍区,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,3000,翔安
整租·未来海岸云樽 1室1厅 南,未来海岸云樽,整租,1室1厅1卫 60.43㎡ 精装修,面积：60.43㎡,2600,海沧
整租·源昌鑫海湾 4室2厅 复式 南/北,源昌鑫海湾,整租,4室2厅3卫 113.00㎡ 精装修,面积：113.00㎡,8500,湖里
整租·禹洲世贸商城思明 1室1厅 东,禹洲世贸商城思明,整租,1室1厅1卫 53.00㎡ 精装修,面积：53.00㎡,2800,思明
整租·新景舜弘天籁 3室2厅 东南,新景舜弘天籁,整租,3室2厅2卫 114.00㎡ 精装修,面积：114.00㎡,4000,集美
整租·联发欣悦学府 4室2厅 南/北,联发欣悦学府,整租,4室2厅2卫 116.00㎡ 精装修,面积：116.00㎡,3500,翔安
整租·鹭槟大厦 2室1厅 西南,鹭槟大厦,整租,2室1厅1卫 39.00㎡ 精装修,面积：39.00㎡,2600,湖里
整租·米兰春天 1室1厅 北,米兰春天,整租,1室1厅1卫 46.00㎡ 精装修,面积：46.00㎡,2600,思明
